id,recruiter_id,title,description,created_at
148,1,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-31 00:00:00
149,8,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-25 00:00:00
150,5,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-26 00:00:00
151,7,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-08 00:00:00
152,2,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-05 00:00:00
153,10,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-07 00:00:00
154,4,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-14 00:00:00
155,1,Software Engineer,"Python, Java, Software Development",2024-01-19 00:00:00
156,1,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-06 00:00:00
157,5,Software Engineer,"Python, Java, Software Development",2024-01-03 00:00:00
158,6,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-22 00:00:00
159,1,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-27 00:00:00
160,8,Software Engineer,"Python, Java, Software Development",2024-01-27 00:00:00
161,9,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-13 00:00:00
162,10,Software Engineer,"Python, Java, Software Development",2024-01-27 00:00:00
163,8,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-11 00:00:00
164,4,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-16 00:00:00
165,2,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-01 00:00:00
166,10,Software Engineer,"Python, Java, Software Development",2024-01-08 00:00:00
167,10,Software Engineer,"Python, Java, Software Development",2024-01-29 00:00:00
168,4,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-07 00:00:00
169,7,Software Engineer,"Python, Java, Software Development",2024-01-27 00:00:00
170,9,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-27 00:00:00
171,4,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-04 00:00:00
172,8,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-26 00:00:00
173,1,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-18 00:00:00
174,5,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-08 00:00:00
175,2,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-20 00:00:00
176,1,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-19 00:00:00
177,4,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-08 00:00:00
178,2,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-30 00:00:00
179,3,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-20 00:00:00
180,2,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-05 00:00:00
181,9,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-26 00:00:00
182,10,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-24 00:00:00
183,1,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-23 00:00:00
184,5,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-15 00:00:00
185,9,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-24 00:00:00
186,8,Software Engineer,"Python, Java, Software Development",2024-01-13 00:00:00
187,9,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-18 00:00:00
188,7,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-17 00:00:00
189,1,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-10 00:00:00
190,7,Software Engineer,"Python, Java, Software Development",2024-01-18 00:00:00
191,7,Software Engineer,"Python, Java, Software Development",2024-01-03 00:00:00
192,7,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-09 00:00:00
193,8,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-11 00:00:00
194,2,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-13 00:00:00
195,1,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-04 00:00:00
196,8,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-22 00:00:00
197,8,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-29 00:00:00
198,1,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-05 00:00:00
199,3,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-02 00:00:00
200,5,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-27 00:00:00
201,2,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-17 00:00:00
202,2,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-17 00:00:00
203,10,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-12 00:00:00
204,5,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-23 00:00:00
205,6,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-01 00:00:00
206,3,Software Engineer,"Python, Java, Software Development",2024-01-23 00:00:00
207,10,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-23 00:00:00
208,3,Software Engineer,"Python, Java, Software Development",2024-01-20 00:00:00
209,6,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-08 00:00:00
210,10,Software Engineer,"Python, Java, Software Development",2024-01-20 00:00:00
211,7,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-08 00:00:00
212,9,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-11 00:00:00
213,9,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-25 00:00:00
214,4,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-13 00:00:00
215,10,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-16 00:00:00
216,8,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-09 00:00:00
217,3,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-23 00:00:00
218,10,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-28 00:00:00
219,10,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-04 00:00:00
220,4,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-13 00:00:00
221,1,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-28 00:00:00
222,8,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-30 00:00:00
223,3,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-03 00:00:00
224,8,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-10 00:00:00
225,8,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-01 00:00:00
226,6,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-14 00:00:00
227,7,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-04 00:00:00
228,2,Software Engineer,"Python, Java, Software Development",2024-01-03 00:00:00
229,9,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-27 00:00:00
230,1,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-29 00:00:00
231,5,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-31 00:00:00
232,5,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-19 00:00:00
233,8,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-08 00:00:00
234,6,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-17 00:00:00
235,8,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-25 00:00:00
236,3,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-30 00:00:00
237,6,Software Engineer,"Python, Java, Software Development",2024-01-13 00:00:00
238,8,Software Engineer,"Python, Java, Software Development",2024-01-02 00:00:00
239,9,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-27 00:00:00
240,3,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-21 00:00:00
241,8,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-03 00:00:00
242,2,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-20 00:00:00
243,8,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-20 00:00:00
244,10,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-11 00:00:00
245,8,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-21 00:00:00
246,7,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-04 00:00:00
247,9,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-11 00:00:00
248,9,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-10 00:00:00
249,7,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-30 00:00:00
250,10,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-14 00:00:00
251,5,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-13 00:00:00
252,2,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-06 00:00:00
253,4,Software Engineer,"Python, Java, Software Development",2024-01-16 00:00:00
254,9,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-20 00:00:00
255,8,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-19 00:00:00
256,10,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-23 00:00:00
257,7,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-24 00:00:00
258,5,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-24 00:00:00
259,5,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-08 00:00:00
260,10,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-12 00:00:00
261,5,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-01 00:00:00
262,6,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-13 00:00:00
263,2,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-18 00:00:00
264,9,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-10 00:00:00
265,10,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-13 00:00:00
266,5,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-04 00:00:00
267,7,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-16 00:00:00
268,8,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-09 00:00:00
269,4,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-24 00:00:00
270,9,Software Engineer,"Python, Java, Software Development",2024-01-15 00:00:00
271,4,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-25 00:00:00
272,1,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-15 00:00:00
273,1,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-03 00:00:00
274,5,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-01 00:00:00
275,8,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-29 00:00:00
276,9,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-02 00:00:00
277,6,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-31 00:00:00
278,9,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-22 00:00:00
279,3,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-21 00:00:00
280,5,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-23 00:00:00
281,2,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-17 00:00:00
282,3,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-24 00:00:00
283,6,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-22 00:00:00
284,3,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-14 00:00:00
285,3,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-19 00:00:00
286,1,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-02 00:00:00
287,6,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-03 00:00:00
288,4,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-26 00:00:00
289,8,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-01 00:00:00
290,2,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-14 00:00:00
291,9,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-01 00:00:00
292,1,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-06 00:00:00
293,9,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-25 00:00:00
294,7,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-15 00:00:00
295,5,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-18 00:00:00
296,7,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-08 00:00:00
297,6,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-07 00:00:00
298,3,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-06 00:00:00
299,10,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-30 00:00:00
300,3,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-15 00:00:00
